DAY,Srevenue,Price = (Srevenue/Squantity),Squantity,SMA(4),SMA(9),
0,232,116,124,,,143.84
1,232,116,101,,,117.16
2,464,116,115,,,133.4
3,580,116,158,124.5,,183.28
4,0,0,59,108.25,,0
5,140,140,49,95.25,,68.6
6,140,140,58,81,,81.2
7,563,140.75,61,56.75,90.625,85.8575
8,563,140.75,63,57.75,83,88.6725
9,1267,140.7777777778,129,77.75,86.5,181.6033333333
10,985,140.7142857143,187,110,95.5,263.1357142857
11,281,140.5,71,112.5,84.625,99.755
12,704,140.8,74,115.25,86.5,104.192
13,563,140.75,78,102.5,90.125,109.785
14,844,140.6666666667,81,76,93,113.94
15,704,140.8,81,78.5,95.5,114.048
16,985,140.7142857143,184,106,110.625,258.9142857143
17,1267,140.7777777778,265,152.75,127.625,373.0611111111
18,563,140.75,85,153.75,114.875,119.6375
19,422,140.6666666667,92,156.5,117.5,129.4133333333
20,704,140.8,79,130.25,118.125,111.232
21,704,140.8,75,82.75,117.75,105.6
22,563,140.75,83,82.25,118,116.8225
23,2534,140.7777777778,145,95.5,126,204.1277777778
24,1689,140.75,188,122.75,126.5,264.61
25,704,140.8,77,123.25,103,108.416
26,422,140.6666666667,77,121.75,102,108.3133333333
27,563,140.75,71,103.25,99.375,99.9325
28,1548,140.7272727273,98,80.75,101.75,137.9127272727
29,140,140,84,82.5,102.875,117.6
30,563,140.75,150,100.75,111.25,211.125
30,1830,140.7692307692,221,138.25,120.75,311.1
31,281,140.5,83,134.5,107.625,116.615
32,985,140.7142857143,92,136.5,109.5,129.4571428571
33,704,140.8,80,119,109.875,112.64
34,1689,140.75,78,83.25,110.75,109.785
35,563,140.75,64,78.5,106.5,90.08
36,1971,140.7857142857,147,92.25,114.375,206.955
37,2534,140.7777777778,222,127.75,123.375,312.5266666667
38,1126,140.75,83,129,106.125,116.8225
39,563,140.75,62,128.5,103.5,87.265
40,985,140.7142857143,81,112,102.125,113.9785714286
41,422,140.6666666667,71,74.25,101,99.8733333333
42,985,140.7142857143,113,81.75,105.375,159.0071428571
43,1548,140.7272727273,230,123.75,126.125,323.6727272727
44,1548,140.7272727273,217,157.75,134.875,305.3781818182
45,563,140.75,76,159,116.625,106.97
46,563,140.75,51,143.5,112.625,71.7825
47,232,116,30,93.5,108.625,34.8
48,422,140.6666666667,62,54.75,106.25,87.2133333333
49,1267,140.7777777778,72,53.75,106.375,101.36
50,1830,140.7692307692,175,84.75,114.125,246.3461538462
51,2252,140.75,220,132.25,112.875,309.65
52,281,140.5,80,136.75,95.75,112.4
53,704,140.8,74,137.25,95.5,104.192
54,1126,140.75,74,112,98.375,104.155
55,281,140.5,58,71.5,101.875,81.49
56,563,140.75,48,63.5,100.125,67.56
57,844,140.6666666667,127,76.75,107,178.6466666667
60,985,140.7142857143,150,95.75,103.875,211.0714285714
61,140,140,53,94.5,83,74.2
62,844,140.6666666667,53,95.75,79.625,74.5533333333
63,704,140.8,64,80,78.375,90.112
64,1267,140.7777777778,65,58.75,77.25,91.5055555556
65,140,140,63,61.25,77.875,88.2
66,563,140.75,155,86.75,91.25,218.1625
67,1126,140.75,212,123.75,101.875,298.39
68,985,140.7142857143,80,127.5,93.125,112.5714285714
69,1548,140.7272727273,81,132,96.625,113.9890909091
70,281,140.5,64,109.25,98,89.92
71,1548,140.7272727273,75,75,99.375,105.5454545455
72,1126,140.75,75,73.75,100.625,105.5625
73,1689,140.75,185,99.75,115.875,260.3875
74,1830,140.7692307692,240,143.75,126.5,337.8461538462
75,1548,140.7272727273,83,145.75,110.375,116.8036363636
76,1126,140.75,95,150.75,112.25,133.7125
77,1689,140.75,110,132,115.875,154.825
78,422,140.6666666667,79,91.75,117.75,111.1266666667
79,422,140.6666666667,74,89.5,117.625,104.0933333333
80,1126,140.75,102,91.25,121,143.565
81,281,140.5,208,115.75,123.875,292.24
82,704,140.8,64,112,101.875,90.112
83,844,140.6666666667,58,108,98.75,81.5866666667
84,140,140,60,97.5,94.375,84
85,140,140,74,64,89.875,103.6
86,563,140.75,65,64.25,88.125,91.4875
87,281,140.5,133,83,95.5,186.865
88,422,140.6666666667,210,120.5,109,295.4
89,563,140.75,58,116.5,90.25,81.635
90,422,140.6666666667,72,118.25,91.25,101.28
90,281,140.5,44,96,89.5,61.82
91,140,140,72,61.5,91,100.8
92,704,140.8,58,61.5,89,81.664
93,1408,140.8,144,79.5,98.875,202.752
94,1126,140.75,193,116.75,106.375,271.6475
95,985,140.7142857143,72,116.75,89.125,101.3142857143
96,1126,140.75,64,118.25,89.875,90.08
97,1126,140.75,69,99.5,89.5,97.1175
98,844,140.6666666667,58,65.75,91.25,81.5866666667
99,0,0,73,66,91.375,0
100,985,140.7142857143,123,80.75,99.5,173.0785714286
101,109,109,200,113.5,106.5,218
102,0,0,75,117.75,91.75,0
103,563,140.75,73,117.75,91.875,102.7475
104,422,140.6666666667,68,104,92.375,95.6533333333
105,0,0,79,73.75,93.625,0
106,422,140.6666666667,77,74.25,96,108.3133333333
107,109,109,190,103.5,110.625,207.1
108,218,109,239,146.25,125.125,260.51
109,0,0,82,147,110.375,0
110,-109,109,103,153.5,113.875,112.27
111,0,0,65,122.25,112.875,0
112,230,115,188,109.5,127.875,216.2
113,0,0,128,121,134,0
114,461,115.25,142,130.75,142.125,163.655
115,215,215,225,170.75,146.5,483.75
116,563,140.75,58,138.25,123.875,81.635
117,115,115,66,122.75,121.875,75.9
118,215,215,63,103,116.875,135.45
119,0,0,75,65.5,118.125,0
120,394,197,142,86.5,112.375,279.74
121,788,197,143,105.75,114.25,281.71
122,1773,197,239,149.75,126.375,470.83
123,394,197,111,158.75,112.125,218.67
124,985,197,115,152,119.25,226.55
125,985,197,281,186.5,146.125,553.57
126,394,197,364,217.75,183.75,717.08
127,1182,197,496,314,236.375,977.12
128,6700,197.0588235294,1340,620.25,386.125,2640.5882352941
129,5911,197.0333333333,1379,894.75,540.625,2717.0896666667
130,591,197,97,828,522.875,191.09
131,197,197,72,722,518,141.84
132,394,197,87,408.75,514.5,171.39
133,215,215,66,80.5,487.625,141.9
134,197,197,52,69.25,448.625,102.44
135,197,197,109,78.5,400.25,214.73
136,1182,197,161,97,252.875,317.17
137,394,197,80,100.5,90.5,157.6
138,788,197,131,120.25,94.75,258.07
139,788,197,50,105.5,92,98.5
140,394,197,56,79.25,88.125,110.32
141,197,197,64,75.25,87.875,126.08
142,591,197,116,71.5,95.875,228.52
143,591,197,161,99.25,102.375,317.17
144,394,197,67,102,90.625,131.99
145,197,197,52,99,87.125,102.44
146,394,197,71,87.75,79.625,139.87
147,788,197,58,62,80.625,114.26
148,591,197,73,63.5,82.75,143.81
149,591,197,124,81.5,90.25,244.28
150,591,197,163,104.5,96.125,321.11
150,197,197,71,107.75,84.875,139.87
151,0,0,53,102.75,83.125,0
152,591,197,63,87.5,84.5,124.11
153,394,197,59,61.5,83,116.23
154,197,197,65,60,83.875,128.05
155,788,197,152,84.75,93.75,299.44
156,788,197,176,113,100.25,346.72
157,0,0,75,117,89.25,0
158,234,234,71,118.5,89.25,166.14
159,0,0,51,93.25,89,0
160,197,197,124,80.25,96.625,244.28
161,0,0,80,81.5,99.25,0
162,704,234.6666666667,152,101.75,110.125,356.6933333333
163,938,234.5,187,135.75,114.5,438.515
164,938,234.5,71,122.5,101.375,166.495
165,1173,234.6,94,126,103.75,220.524
166,704,234.6666666667,86,109.5,105.625,201.8133333333
167,469,234.5,86,84.25,110,201.67
168,1173,234.6,76,85.5,104,178.296
169,469,234.5,206,113.5,119.75,483.07
170,2112,234.6666666667,236,151,130.25,553.8133333333
171,1408,234.6666666667,101,154.75,119.5,237.0133333333
172,0,0,81,156,120.75,0
173,234,234,68,121.5,117.5,159.12
174,704,234.6666666667,78,82,116.5,183.04
175,469,234.5,80,76.75,115.75,187.6
176,1408,234.6666666667,158,96,126,370.7733333333
177,1173,234.6,232,137,129.25,544.272
178,0,0,101,142.75,112.375,0
179,469,234.5,91,145.5,111.125,213.395
180,1643,234.7142857143,102,131.5,113.75,239.4085714286
181,-234,234,86,95,116,201.24
182,1643,234.7142857143,101,95,118.875,237.0614285714
183,1173,234.6,150,109.75,127.625,351.9
184,2347,234.7,201,134.5,133,471.747
185,938,234.5,83,133.75,114.375,194.635
186,234,234,72,126.5,110.75,168.48
187,704,234.6666666667,56,103,106.375,131.4133333333
188,704,234.6666666667,71,70.5,102.5,166.6133333333
189,469,234.5,75,68.5,101.125,175.875
190,704,234.6666666667,162,91,108.75,380.16
191,1408,234.6666666667,190,124.5,113.75,445.8666666667
192,938,234.5,76,125.75,98.125,178.22
193,8215,234.7142857143,99,131.75,100.125,232.3671428571
194,2581,234.6363636364,90,113.75,102.375,211.1727272727
195,2816,234.6666666667,131,99,111.75,307.4133333333
196,234,234,43,90.75,108.25,100.62
197,1173,234.6,98,90.5,111.125,229.908
198,1173,234.6,111,95.75,104.75,260.406
199,1408,234.6666666667,108,90,94.5,253.44
200,234,234,78,98.75,94.75,182.52
201,704,234.6666666667,81,94.5,92.5,190.08
202,938,234.5,86,88.25,92,201.67
203,469,234.5,79,81,85.5,185.255
204,1877,234.625,145,97.75,98.25,340.20625
205,938,234.5,137,111.75,103.125,321.265
206,234,234,73,108.5,98.375,170.82
207,234,234,75,107.5,94.25,175.5
208,2816,234.6666666667,88,93.25,95.5,206.5066666667
209,469,234.5,115,87.75,99.75,269.675
210,234,234,68,86.5,97.5,159.12
210,1173,234.6,155,106.5,107,363.63
211,2347,234.7,189,131.75,112.5,443.583
212,938,234.5,82,123.5,105.625,192.29
213,704,234.6666666667,82,127,106.75,192.4266666667
214,234,234,79,108,107.25,184.86
215,0,0,69,78,104.875,0
216,469,234.5,82,78,100.75,192.29
217,1173,234.6,113,85.75,106.375,265.098
218,938,234.5,174,109.5,108.75,408.03
219,704,234.6666666667,96,116.25,97.125,225.28
220,1408,234.6666666667,108,122.75,100.375,253.44
221,938,234.5,101,119.75,102.75,236.845
222,0,0,80,96.25,102.875,0
223,704,234.6666666667,109,99.5,107.875,255.7866666667
224,938,234.5,144,108.5,115.625,337.68
225,704,234.6666666667,175,127,123.375,410.6666666667
226,0,0,67,123.75,110,0
227,704,234.6666666667,115,125.25,112.375,269.8666666667
228,469,234.5,114,117.75,113.125,267.33
229,938,234.5,121,104.25,115.625,283.745
230,704,234.6666666667,102,113,118.375,239.36
231,938,234.5,136,118.25,121.75,318.92
232,1173,234.6,164,130.75,124.25,384.744
233,704,234.6666666667,76,119.5,111.875,178.3466666667
234,469,234.5,103,119.75,116.375,241.535
235,704,234.6666666667,117,115,116.625,274.56
236,704,234.6666666667,87,95.75,113.25,204.16
237,70,70,117,106,112.75,81.9
238,1877,234.625,204,131.25,125.5,478.635
239,1877,234.625,182,147.5,131.25,427.0175
240,234,234,77,145,120.375,180.18
240,938,234.5,92,138.75,122.375,215.74
241,1173,234.6,97,112,121.625,227.562
242,1643,234.7142857143,99,91.25,119.375,232.3671428571
243,704,234.6666666667,88,94,119.5,206.5066666667
244,938,234.5,149,108.25,123.5,349.405
245,1877,234.625,205,135.25,123.625,480.98125
246,0,0,98,135,113.125,0
247,704,234.6666666667,103,138.75,116.375,241.7066666667
248,2112,234.6666666667,120,131.5,119.875,281.6
